TC_ID|Input length type|Input|Expected output|Actual output|Status|Singlish input types covered|Evidence or rationale for the input type covered
Neg_0001|M|exam hall ekata yanna kalin ID eka pennanna.|exam hall එකට යන්න කලින් ID එක පෙන්වන්න.|එxඅම් හල් එකට යන්න කලින් Iඩ් එක පෙන්වන්න.|FAIL|Command forms|Evidence: The sentence gives a command to show the ID before entering.
Neg_0002|M|ayubowan apage awareness program ekata oyawa sadarayen piligannawa.|ආයුබෝවන් අපගේ awareness program එකට ඔයාව සාදරයෙන් පිළිගන්නවා.|ආයුබෝවන් අපගේ අwඅරෙනෙස්ස් ප්‍රෝග්‍රෑම් එකට ඔයාව සාදරයෙන් පිළිගන්නවා.|FAIL|Greetings|Evidence: The sentence uses 'ayubowan' and welcomes the user.
Neg_0003|M|puluwannam lecture recording eka mata share karanna puluwanda?|පුළුවන්නම් lecture recording එක මට share කරන්න පුළුවන්ද?|පුළුවන්නම් ලෙcටුරෙ රෙcඔර්ඩින්ග් එක මට ශරෙ කරන්න පුළුවන්ද?|FAIL|Requests|Evidence: The word 'puluwannam' indicates a request.
Neg_0004|M|ada raa curfew ekak daanawada...? news wala kiwwada?|අද රෑ curfew එකක් දානවාද...? news වල කිව්වාද?|අද රෑ cඋර්fඑw එකක් දානවාද...? නෙwස් වල කිව්වාද?|FAIL|Punctuation marks|Evidence: The input contains ellipsis and question marks.
Neg_0005|M|mge admission card eka download wenne na.|මගේ admission card එක download වෙන්නේ නැහැ.|ම්ගෙ අඩ්මිස්සිඔන් cඅර්ඩ් එක දොwන්ලොඅඩ් වෙන්නේ න.|FAIL|Romanization / spelling variants|Evidence: The word 'mge' is a shortened spelling variant of 'mage'.
Neg_0006|M|oya mt email eka fwrd krnna puluwnda?|ඔයා මට email එක forward කරන්න පුළුවන්ද?|ඔයා ම්ට් එමෛල් එක fව්ර්ඩ් ක්‍ර්න්න පුලුව්න්ඩ?|FAIL|Romanization / spelling variants|Evidence: The input uses spelling variants such as 'mt', 'fwrd', 'krnna', and 'puluwnda'.
Neg_0007|M|sir kiwa please check your email before coming.|sir කිව්වා please check your email before coming.|සිර් කිවා ප්ලෙඅසෙ cහෙcක් යොඋර් එමෛල් බෙfඔරෙ cඔමින්ග්.|FAIL|Multi-word English phrases|Evidence: The phrase 'please check your email before coming' is a multi-word English phrase.
Neg_0008|M|notice eke thibuna bring your own laptop kiyala.|notice එකේ තිබුණා bring your own laptop කියලා.|නොටිcඑ එකේ තිබුණා බ්‍රින්ග් යොඋර් ඔwන් ලප්ටොප් කියලා.|FAIL|Multi-word English phrases|Evidence: The phrase 'bring your own laptop' is a multi-word English phrase.
Neg_0009|M|mobile data slow nisa live class eka stuck una.|mobile data slow නිසා live class එක stuck වුණා.|මොබිලෙ දට ස්ලොw නිසා ලිවෙ cලස්ස් එක ස්ටුcක් උන.|FAIL|English digital terms|Evidence: The input includes digital terms such as 'mobile data' and 'live class'.
Neg_0010|M|login page eke password reset option eka wada karanne naha.|login page එකේ password reset option එක වැඩ කරන්නේ නැහැ.|ලොගින් පගෙ එකේ පස්ස්wඔර්ඩ් රෙසෙට් ඔප්ටිඔන් එක වඩ කරන්නේ නහ.|FAIL|English digital terms|Evidence: The input includes digital terms such as 'login', 'password', and 'reset'.
Neg_0011|M|Instagram post eke event details tika dala thibuna.|Instagram post එකේ event details ටික දාලා තිබුණා.|ඉන්ස්ටග්‍රම් පොස්ට් එකේ එවෙන්ට් දෙටඉල්ස් ටික දාලා තිබුණා.|FAIL|Platform/App names|Evidence: The input includes the app/platform name 'Instagram'.
Neg_0012|M|IT lab eke CPU units tika replace karala.|IT lab එකේ CPU units ටික replace කරලා.|Iට් ලබ් එකේ Cපු උනිට්ස් ටික රෙප්ලcඑ කරලා.|FAIL|English abbreviations/acronyms|Evidence: The input includes acronyms 'IT' and 'CPU'.
Neg_0013|M|chem practical eka lab 2 eke conduct karanawa.|chem practical එක lab 2 එකේ conduct කරනවා.|cහෙම් ප්‍රcටිcඅල් එක ලබ් 2 එකේ cඔන්ඩුcට් කරනවා.|FAIL|English clipped forms|Evidence: 'chem' is a clipped form for chemistry.
Neg_0014|M|Matara bus stand eke aluth ticket counter ekak open karala.|Matara bus stand එකේ අලුත් ticket counter එකක් open කරලා.|මාතර බුස් ස්ටන්ඩ් එකේ අලුත් ටිcකෙට් cඔඋන්ටෙර් එකක් ඔපෙන් කරලා.|FAIL|Place names embedded in Singlish|Evidence: The input includes the place name 'Matara'.
Neg_0015|M|Kurunegala hospital eke blood donation camp ekak thiyenawa.|Kurunegala hospital එකේ blood donation camp එකක් තියෙනවා.|කුරුණෑගල හොස්පිටල් එකේ බ්ලොඔඩ් දොනටිඔන් cඅම්ප් එකක් තියෙනවා.|FAIL|Place names embedded in Singlish|Evidence: The input includes the place name 'Kurunegala'.
Neg_0016|M|Dinithi saha Harith presentation ekata ready wela.|දිනිති සහ හරිත් presentation එකට ready වෙලා.|දිනිති සහ හරිත් ප්‍රෙසෙන්ටටිඔන් එකට රෙඅඩ්‍ය් වෙලා.|FAIL|Person names embedded in Singlish|Evidence: The input includes person names 'Dinithi' and 'Harith'.
Neg_0017|M|room 205 eke group discussion eka thiyenawa.|room 205 එකේ group discussion එක තියෙනවා.|රොඔම් 205 එකේ ග්‍රොඋප් දිස්cඋස්සිඔන් එක තියෙනවා.|FAIL|Inputs with numbers and numeric values|Evidence: The input includes numeric value '205'.
